business_name,author_name,text,photo,rating,rating_category
Haci'nin Yeri - Yigit Lokantasi,Gulsum Akar,We went to Marmaris with my wife for a holiday. We chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food. When we first went there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,dataset/taste/hacinin_yeri_gulsum_akar.png,5,taste
Haci'nin Yeri - Yigit Lokantasi,Oguzhan Cetin,During my holiday in Marmaris we ate here to fit the food. It's really good that the food is cheap and nice. Eating as much bread as you want is a big plus for those who are not satisfied without bread. It is a place that I can recommend to those who will go to Marmaris. On July 1 there was a small increase but even the price hike is cheap. I leave the photo of the latest prices and breakfast below. there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,dataset/menu/hacinin_yeri_oguzhan_cetin.png,4,menu
Haci'nin Yeri - Yigit Lokantasi,Yasin Kuyu,Prices are very affordable. The menu in the photo cost 108 liras. You have to wait 10-15 minutes for food. Staff is annoying. Well it tastes good. Boiled meat was delicious.,dataset/outdoor_atmosphere/hacinin_yeri_yasin_kuyu.png,3,outdoor_atmosphere
Haci'nin Yeri - Yigit Lokantasi,Orhan Kapu,Turkey's cheapest artisan restaurant and its food is delicious!,dataset/indoor_atmosphere/hacinin_yeri_orhan_kapu.png,5,indoor_atmosphere
Haci'nin Yeri - Yigit Lokantasi,Ozgur Sati,I don't know what you will look for in terms of price performance point; taste; but yigit restaurant writes a big plus for those who come to work in this region.,dataset/menu/hacinin_yeri_ozgur_sati.png,3,menu
Haci'nin Yeri - Yigit Lokantasi,Arda Karaca,Generally good.,dataset/indoor_atmosphere/hacinin_yeri_arda_karaca.png,4,indoor_atmosphere
Haci'nin Yeri - Yigit Lokantasi,İrem Eren,What you see is 125 TL in total. It's a pretty convenient place. We can say that it is an artisan restaurant; you should not expect a restaurant; but they are still quite good in terms of price and performance. As of July 1; prices will increase,dataset/taste/hacinin_yeri_irem_eren.png,5,taste
Haci'nin Yeri - Yigit Lokantasi,Nadia Salim,Delicious food at rock bottom prices. Friendly staff; Highly recommend,dataset/taste/hacinin_yeri_nadia_salim.png,5,taste
Haci'nin Yeri - Yigit Lokantasi,Mehmet Eser,"Every time I go, I still experience the amazement I experienced years ago as if it were the first time. There is no need to explain. Folk hero is a business.",dataset/outdoor_atmosphere/hacinin_yeri_mehmet_eser.png,5,outdoor_atmosphere
Haci'nin Yeri - Yigit Lokantasi,Celal Ozer,The most f/p of all businesses I've seen.,dataset/indoor_atmosphere/hacinin_yeri_celal_ozer.png,5,indoor_atmosphere
Haci'nin Yeri - Yigit Lokantasi,Onur Celebi,The food was just like the ones my mother made. Prices were reasonable.,dataset/taste/hacinin_yeri_onur_celebi.png,5,taste
Pizza Fellas,Kadir Tasci,The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.,dataset/indoor_atmosphere/pizza_fellas_kadir_tasci.png,5,indoor_atmosphere
Pizza Fellas,Serkan Colak,"Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.",dataset/taste/pizza_fellas_serkan_colak.png,2,taste
Pizza Fellas,Selim Cun,It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,dataset/indoor_atmosphere/pizza_fellas_selim_cun.png,4,indoor_atmosphere
Pizza Fellas,Zeki Celik,They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.,dataset/outdoor_atmosphere/pizza_fellas_zeki_celik.png,5,outdoor_atmosphere
Pizza Fellas,Mustafa Caliskan,It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.,dataset/taste/pizza_fellas_mustafa_caliskan.png,3,taste
Pizza Fellas,Deniz Bilgin,I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.,dataset/outdoor_atmosphere/pizza_fellas_deniz_bilgin.png,5,outdoor_atmosphere
Pizza Fellas,Cihan Tas,It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.,dataset/menu/pizza_fellas_cihan_tas.png,4,menu
Pizza Fellas,Seda Sinem,Do not come around Marmaris and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!,dataset/taste/pizza_fellas_seda_sinem.png,5,taste
Pizza Fellas,Nesrin Kuyumcu,I never thought that the best pizza I've ever eaten would be in Akyaka. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to Akyaka.,dataset/menu/pizza_fellas_nesrin_kuyumcu.png,5,menu
Pizza Fellas,Okan Uslu,It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.,dataset/indoor_atmosphere/pizza_fellas_okan_uslu.png,4,indoor_atmosphere
